Last Name,First/Middle Name,Alias,Gender,Age,Color,Day,Month,Year,City,County,State,Child,Literate,Armed,Trasportation,Enslaver,Reward
Hall,Charles,null,M,null,null,8,Apr,1856,Baltimore,Baltimore,MD,null,null,null,null,Atwood Blunt,null
Davis,Singleton,William Snowden,M,38,null,4,May,1853,Columbia,null,null,null,null,null,null,Augustus Riggs,null
Jasper,Elias,null,M,32,B,22,Jun,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Bayham,null
Burrell,Peter,null,M,null,null,21,Apr,1856,Alexandria,Fairfax,VA,null,null,null,null,Bejamin Johnson Hall,null
Gilbert,Charles,null,M,null,M,11,Nov,1854,Richmond,Henrico,VA,null,null,null,Steamer,Benjamin Davis,null
Reed,Isaac,James Reed,M,null,null,28,Jul,1856,Eastern Shore,null,MD,null,null,null,null,Benjamin Franklin Houston,null
Gardener,Priscilla,null,F,30,B,null,null,1858,Richmond,Henrico,VA,null,null,null,null,Benjamin Hilliard,null
Dade,Jack,null,M,22,B,null,null,1857,Washington,Washington,VA,null,null,null,null,Benjamin R. Chambers,null
Washington,Samuel,James Moore,M,35,null,27,Feb,1855,Norfolk,Norfolk,VA,null,null,null,null,Benjamin Smith,null
Washington,George,null,M,15,B,null,null,1857,Perryville,Caroline,MD,null,null,null,Foot,Benjamin Sylves,null
Brown,John,null,M,null,null,null,null,1859,null,null,null,null,null,null,null,Benjamin Thorn,null
Clinton,Thomas,null,M,21,B,null,null,1856,Baltimore,Baltimore,MD,null,X,null,null,Benjamin Walmsly,null
Hilliard,Frances,null,M,29,M,30,Aug,1855,Richmond,Henrico,VA,null,X,null,Steamer,Beverly Blair,null
Ennells,Noah,null,M,19,B,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,null,Black Head Bill LeCount,null
Nole,Charles,null,M,null,M,null,Oct,1858,null,Culpepper,VA,null,null,null,null,Blooker W. Hansborough,null
Ellis,Joe,null,M,23,B,null,null,1857,Cabin Point,Surrey,VA,null,null,null,null,Bolling Ellis,null
Hall,Edward,null,M,20,null,null,null,1859,null,null,DE,null,null,null,null,Booth,null
Chion,Emma,null,F,null,null,null,null,1860,null,Dorchester,MD,null,null,null,null,Bushong Blake,null
Carroll,George,null,M,24,B,null,null,1857,Washington,null,DC,null,null,null,null,C.C. Hirara,null
Thorton,Alfred S.,null,M,22,B,null,null,1858,null,null,VA,null,null,null,null,C.F. Shinn,null
Bishop,Elijah,null,M,28,B,null,null,1858,Baltimore,Baltimore,MD,null,null,null,null,Campbell,null
Freeland,George W. ,null,M,25,B,5,Jun,1854,Petersburg,Dinwiddle,VA,null,X,null,Steamer,Capt. John Pollard,null
Cornish,Joseph,null,M,40,B,25,Dec,1855,null,Dorchester,MD,null,null,null,null,Capt. Samuel Lecount,null
Giles,Charlotte,null,F,23,null,31,May,1856,Baltimore,Baltimore,MD,null,null,null,Railroad,Capt. William Applegarth,null
Royan,William,null,M,35,null,null,null,1857,Washington,null,DC,null,null,null,null,Captain Cunningham,null
Delaney,James Henry,null,M,26,null,25,May,1854,Seaford,Sussex,DE,null,null,null,null,Captain Martin,null
null,Richard,null,M,30,B,22,Mar,1857,New Kent,null,null,null,null,null,Foot,Captain Tucker,100 in state
Lewis,Edward,William Brady,M,36,B,7,Nov,1857,null,Franklin,NC,null,X,null,null,Carter Gay,100
Joiner,Maria,null,F,33,M,23,Jun,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Catharine Gordon,null
Harris,James,null,M,null,M,null,Nov,1856,Middletown,New Castle,DE,null,null,null,null,Catharine Odine,null
Cooper,Charles Henry,null,M,22,null,4,Aug,1856,Middletown,New Castle,DE,null,null,null,null,Catherine Medine,null
Viney,Joseph,null,M,40,B,24,Oct,1857,Alexandria,Fairfax,VA,null,null,null,Foot,Charles Bryant,null
Mead,Zechariah,John Williams,M,20,null,25,Feb,1855,null,null,MD,null,null,null,null,Charles C. Owens,null
Hickman,Charles,Charles Robinson,M,null,null,7,Aug,1855,Indian River,Sussex,DE,null,null,null,null,Charles Henry Hickman,null
Johnson,Perry,null,M,28,null,21,Nov,1853,Elkton,Cecil,MD,null,null,null,null,Charles Johnson,null
Langhorn,Henry,William Scott,M,null,M,null,Dec,1858,Richmond,Henrico,VA,null,X,null,Steamer,Charles L. Hobson,null
Weems,Maria,Joe Wright/Ellen Capron,F,15,B,25,Nov,1855,Washington,null,DC,X,null,null,Carriage,Charles M. Price,500
Williams,Edward,Henry Johnson,M,null,null,3,Apr,1853,Baltimore,Baltimore,MD,null,null,null,Foot,Charles Moondo,null
Conner,James,null,M,43,null,27,Jul,1857,New Orleans,Orleans,LA,null,null,null,null,Charles Parlange,100
null,Hannah,null,F,23,null,17,Oct,1857,Marshall Hope,Caroline,MD,null,null,null,Foot,Charles Peters,null
Snivley,David,null,M,26,B,null,null,1860,Frederick,Frederick,MD,null,null,null,null,Charles Preston,null
Blackson,James Henry,null,M,25,null,26,May,1854,null,null,null,null,null,null,null,Charles Wright,null
William,Mary,null,F,null,null,null,null,1860,Fredericksburg,Spotsylvania,VA,null,null,null,null,Christian Thomas,null
Green,Christopher,null,M,null,B,null,null,1857,Baltimore,Baltimore,MD,null,null,null,null,Clayton Wright,null
Brown,Robert,Thomas Jones,M,25,M,25,Dec,1856,Martinsburg,Henry,VA,null,null,null,Horseback,Col. John F. Fraic,null
Johnson,null,null,M,7,null,null,Jul,1855,null,null,NC,X,null,null,Carriage,Col. John H. Wheeler,null
Johnson,null,null,M,11,null,null,Jul,1855,null,null,NC,X,null,null,Carriage,Col. John H. Wheeler,null
Johnson,Jane,null,F,null,B,null,Jul,1855,null,null,NC,null,null,null,Carriage,Col. John H. Wheeler,null
Airs,Peter,Peter Johnson,M,30,null,21,Nov,1854,Berlin,Worcester,MD,null,null,null,null,Comfort & Betsy Airs,null
Smith,Jesse,null,M,34,null,12,Dec,1854,Norfolk,Norfolk,VA,null,null,null,null,Cornelius Herman,null
Williams,Isaac,null,M,26,null,21,Dec,1854,Hampsted,King George,VA,null,null,null,Foot,D. Fitchhugh,null
Grey,John Boice,null,M,19,B,null,Jan,1858,Lewes,Sussex,DE,null,null,null,Skiff,Daivd Henry Houston,null
Scott,null,null,null,null,null,25,Nov,1853,Havana,null,MD,X,null,null,null,Daniel Coolby,null
Scott,null,null,null,null,null,25,Nov,1853,Havana,null,MD,X,null,null,null,Daniel Coolby,null
Scott,Hetty,Margaret Duncans,F,null,null,25,Nov,1853,Havana,null,MD,null,null,null,null,Daniel Coolby,null
Scott,Priscilla,Priscilla Duncans,F,null,null,25,Nov,1853,Havana,null,MD,X,null,null,null,Daniel Coolby,null
Unidentified,null,null,M,null,null,25,Nov,1853,Havana,null,MD,null,null,null,null,Daniel Coolby,null
Unidentified,null,null,F,null,null,25,Nov,1853,Havana,null,MD,null,null,null,null,Daniel Coolby,null
Huges,William,null,M,22,null,29,Dec,1856,Eastern Shore,null,MD,null,null,null,null,Daniel Cox,null
Carter,Charles,null,M,30,M,10,Apr,1856,Richmond,Henrico,VA,null,X,null,null,Daniel Delaplain,null
Smith,John Wesley,null,M,26,null,null,null,null,Cambridge,Dorchester,MD,null,null,null,null,Daniel Hubert,null
Jackson,William,null,M,50,null,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Daniel Minne,null
Solomon,George,null,M,33,M,null,Sept,1856,Washington,null,DC,null,null,null,Foot,Daniel Minor,null
Scott,Jack,null,M,36,B,3,Nov,1857,Richmond,Henrico,VA,null,null,null,Foot,"David B. Turner, Esq.",null
Paeden,Celia,null,F,null,null,27,Mar,1853,Norfolk,Norfolk,VA,null,null,null,Boat,David Baines,null
Apeden,Harriet,null,F,null,null,27,Mar,1853,Norfolk,Norfolk,VA,null,null,null,Boat,David Baines,null
null,Celia,null,F,null,null,27,Mar,1854,Norfolk,Norfolk,VA,null,null,null,null,David Baines,null
Wellington,Jane,Jane Johnson,F,null,null,12,Jun,1856,Hagarstown,Washington,MD,null,null,null,null,David Beiller,null
Bird,Charles,null,M,24,B,3,Jun,1856,Hagerstown,Washington,MD,null,null,X,Horseback,David Claggert,null
Bolice,Henry,null,M,null,null,null,Jan,1858,Lewes,Sussex,DE,null,null,null,Skiff,David Henry Houston,null
Moore,John Henry,null,M,24,B,null,null,1857,Arlington,Baltimore,MD,null,null,null,null,David Mitchell,null
Harris,Joseph,null,M,23,null,null,Jun,1855,Plymouth,null,NC,null,null,null,null,David Morris,null
Pennington,Bob,null,M,null,null,null,May,1854,Washington,null,DC,null,null,null,null,David Smith & Jacob Grove,null
Pennington,Stephen,null,M,null,null,null,May,1854,Washington,null,DC,null,null,null,null,David Smith & Jacob Grove,null
Mills,Cornelius,null,M,27,null,null,null,1860,null,null,MD,null,null,null,null,David Snively,null
Mills,Diana,null,F,57,null,null,null,1860,null,null,MD,null,null,null,null,David Snively,null
Mills,Jerry,null,M,65,null,null,null,1860,null,null,MD,null,null,null,null,David Snively,null
Mills,Margaret,null,F,17,null,null,null,1860,null,null,MD,null,null,null,null,David Snively,null
Mills,Susan,null,F,15,null,null,null,1860,null,null,MD,X,null,null,null,David Snively,null
Congo,Charles,null,M,28,B,null,null,null,null,null,MD,null,null,null,null,David Stewart,1200 in state
Congo,Margaret,null,F,28,B,null,null,null,null,null,MD,null,null,null,null,David Stewart,500 in state
Thompson,James Henry,Milton Brown,M,28,B,null,null,1858,Johnsonville,null,MD,null,null,null,null,Dennis Mannard,null
Unidentified,null,null,M,null,B,null,null,1856,null,Kent,DE,null,null,null,null,Denny,null
Laws,George,null,M,null,B,null,null,1858,null,Kent,DE,null,null,null,null,Denny,null
Fuller,Cornelius,null,M,null,null,null,null,1859,null,Kent,MD,null,null,null,null,Diden,null
Smith,John,null,M,19,M,null,null,1856,Marshall District,Harford,MD,null,null,null,null,Dr. Abraham Street,null
Johnson,Roseanna,Catherine Brice,F,null,B,11,Jan,1857,Deer Creek,Harford,MD,null,X,null,null,Dr. Abraham Street,null
Ross,Benjamin,null,M,null,null,null,Jun,1857,Eastern Shore,Caroline,MD,null,null,null,null,Dr. Anthony Thompson,null
Ross,Harriet,null,F,null,null,null,Jun,1857,Eastern Shore,Caroline,MD,null,null,null,null,Dr. Anthony Thompson,null
Salter,Charles Henry,null,M,30,null,null,null,null,Baltimore,Baltimore,MD,null,null,null,Foot,Dr. B. Crain,null
Washington,William Henry,null,M,20,null,null,null,null,Baltimore,Baltimore,MD,null,null,null,Foot,Dr. B. Crain,null
Nixon,Samuel,Dr. Thomas Bayne,M,31,B,13,Mar,1855,Norfolk,Norfolk,VA,null,X,null,Schooner,Dr. C.F. Martin,1000
Grantham,Nancy,null,F,19,M,null,null,1858,Richmond,Henrico,VA,null,null,null,Boat,Dr. Christian,null
Penwell,Elizabeth,null,F,22,null,20,Jul,1854,Little Caroline,null,MD,null,null,null,null,Dr. Clift,null
Boyce,Andrew Jackson,null,M,26,B,null,null,1858,Lewes,Sussex,DE,null,null,null,null,Dr. David Houston,null
Shaw,Nace,null,M,23,M,null,null,1858,Baltimore,Baltimore,MD,null,null,null,null,Dr. Ephraim Bell,null
Barlow,Archer,Emit Robins,M,31,M,null,null,1853,Norfolk,Norfolk,VA,null,null,null,Steamer,Dr. George Wilson,null
Todd,Isaac,null,M,23,M,null,null,1857,Unionville,Frederick,MD,null,null,null,null,Dr. Granberry Sappington,null
Booce,Richard J.,null,M,22,B,null,null,1857,null,null,MD,null,null,null,null,Dr. Hughes,null
Thorton,Lawrence,null,M,23,B,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Dr. Isaac Winslow,null
Ringgold,Charles,null,M,18,B,4,Jul,1859,Eastern Shore,null,MD,null,null,null,null,Dr. Jacob Preston,null
Banks,Henry,null,M,19,null,21,Dec,1854,null,King George,VA,null,null,null,Foot,Dr. James,null
Green,Samuel,Wesley Kinnard,M,25,null,28,Aug,1854,Indian Creek,Chester,MD,null,X,null,null,Dr. James Muse,null
Davis,William,null,M,32,B,29,Mar,1854,Emmitsburg,Frederick,MD,null,null,null,null,Dr. James Shoul,null
Spires,Valentine,Jonathan Wesley,M,null,null,28,July,1856,Petersburg,Norfolk,VA,null,null,null,null,Dr. Jesse Squires,null
Allen,Henry,null,M,18,null,14,Nov,1854,Wilmington,New Castle,DE,null,null,null,null,Dr. Johnson,null
Myers,John,null,M,null,null,null,null,1857,null,Harford,MD,null,null,null,null,Dr. Joshua R. Nelson,null
Diggs,David,null,M,37,B,null,null,1857,Rockville,Montgomery,MD,null,null,null,null,Dr. Josiah Harding,null
Camp,Joseph H.,null,M,20,null,16,Nov,1853,Richmond,Henrico,VA,null,null,null,Steamer,Dr. K. Clark,null
Camp,null,null,F,null,null,null,null,1853,Richmond,Henrico,VA,null,null,null,null,Dr. K. Clark,null
Young,Murray,null,M,21,B,null,null,null,null,New Castle,DE,null,null,null,null,Dr. Lober,null
Hall,John,John Simpson,M,32,null,12,July,1854,Charleston,Charleston,SC,null,null,null,Foot & Boat,Dr. Philip Mazyk,null
Paeden,Edward,null,M,44,B,27,Mar,1853,Norfolk,Norfolk,VA,null,null,null,Boat,Dr. Price,null
Brown,Charles Henry,null,M,27,null,5,Feb,1856,Cambridge,Dorchester,MD,null,null,null,null,Dr. Richard Dorsey,null
Hill,George,null,M,24,B,null,null,1857,Arlington,Baltimore,MD,null,null,null,null,Dr. Savington,null
Roach,Lamby,null,F,null,null,null,null,1859,Seaford,Sussex,DE,null,null,null,Foot,Dr. Shipley,null
Bow-Legs,Jim,Bill Paul,M,null,null,25,Oct,1855,Lexington,Oglethorpe,GA,null,null,null,Foot,Dr. Thomas Stephens,500
Upsher,George,null,M,null,null,7,Nov,1857,Richmond,Henrico,VA,null,X,null,null,Dr. Thomas W. Upsher,100
Wilson,William,null,M,42,null,null,Nov,1856,null,null,NC,null,null,null,Schooner,Dr. Thomas Warren,null
Wilson,Franklin,null,M,18,null,24,Oct,1855,null,null,DE,null,null,null,null,Dr. William Daniels,null
Jones,James,Henry Rider,M,32,M,4,Apr,1856,King Georges,null,MD,null,null,null,null,Dr. William Stewart,null
Johnson,Talbot,null,M,35,B,10,Sept,1858,null,null,MD,null,null,null,null,Duke Bond,200 in State/100 out
Townsend,Henry,null,M,21,B,17,Feb,1857,Purnell P.O. Box,Caroline,MD,null,null,null,null,E. Townsend,null
Matthews,Tom,null,M,25,B,4,Apr,1856,Bladensburg,Prince Georges,MD,null,null,null,null,E.A. Jones,33
Wilmer,George,null,M,null,null,5,Sept,1856,Georget'n Crossroads,Kent,MD,null,null,null,null,Eben Welch,null
Madden,Thomas,null,M,22,null,9,Oct,1854,Easton,Talbot,MD,null,null,null,null,Ed Ray,null
Morris,John,null,M,21,B,null,Jun,1855,Norfolk,Norfolk,VA,null,null,null,null,Edward Bloomer,null
North,null,null,null,null,null,22,Mar,1856,null,null,null,X,null,null,null,Edward C. Dyer,null
North,Harry,Lanney,M,12,null,22,May,1856,null,null,null,X,null,null,null,Edward C. Dyer,null
Fowler,Arthur,Benjamin Johnson,M,30,B,29,Dec,1854,Spring Hill,Charles,MD,null,null,null,null,Edward Fowler,null
White,Emanuel T.,null,M,25,M,null,null,1857,Norfolk,Norfolk,VA,null,X,null,Steamer,Edward H. Hubert,null
Emory,Robert,William Kemp,M,null,null,1,Jun,1855,null,Talbot,MD,null,null,null,null,Edward Lloyd,null
Roberts,Emory,William Kemp,M,null,null,1,Jun,1855,Prest Rock,Talbot,MD,null,null,null,null,Edward Lloyd,null
Burrell,Lewis,null,M,null,null,21,Apr,1856,Alexandria,Fairfax,VA,null,null,null,null,Edward M. Clark,null
Dorsey,Luther,null,M,19,B,null,null,null,Sairsville Mills,Frederick,MD,null,null,null,null,Edward Schriner,null
Parker,Ann,null,F,null,null,14,Nov,1856,null,Dorchester,MD,null,null,null,null,Edward Wiley,null
Parker,Henry,null,M,null,null,14,Nov,1856,null,Dorchester,MD,null,null,null,null,Edward Wiley,null
Parker,Lydia Ann,null,F,null,null,14,Nov,1856,null,Dorchester,MD,null,null,null,null,Edward Wiley,null
Dorsey,Anna,null,F,22,M,4,Aug,1856,null,Howard,MD,null,null,null,null,Eli Molesworth,null
Heines,Peter,null,M,21,M,null,July,1856,Eatontown,Chowan,NC,null,null,null,Schooner,"Elias Heines, Esq. ",null
Hines,Peter,null,M,21,null,21,Jul,1856,Eatontown,Chowan,NC,null,null,null,Schooner,Elias Hines,null
Dade,Mary Ann,null,F,null,null,null,null,1857,Washington,Washington,VA,null,null,null,null,Elias Rhoads,null
Tucker,Henry,null,M,null,B,null,null,1858,Arabella Creek Place,Baltimore,MD,null,null,null,null,Elias Sneveley,null
Hollon,Alfred,null,M,28,B,null,null,1857,Baltimore,Baltimore,MD,null,null,null,null,Elijah J. Johnson,null
Rogers,Charles,null,M,null,null,null,null,1857,Baltimore,Baltimore,MD,null,null,X,null,Elijah J. Johnson,null
Rogers,George,null,M,26,B,null,null,1857,Baltimore,Baltimore,MD,null,null,X,null,Elijah J. Johnson,null
Whitney,Israel,null,M,36,null,null,Oct,1857,Alexandria,Fairfax,VA,null,null,null,Foot,Elijah Money,null
Lee,Ordee,null,F,35,B,null,null,1857,null,null,MD,null,null,null,null,Elijah Thompson,null
Williams,Samuel,John Williams,M,32,B,null,Mar,1857,Cumberland,Alleganey,MD,null,null,null,Foot,Elivina Duncans,null
Malary,John,null,M,null,null,21,Oct,1854,Norfolk,Norfolk,VA,null,null,null,null,Eliza Ann Anderson,null
Ross,Benjamin,James Stewart,M,28,B,29,Dec,1854,Bucktown,Dorchester,MD,null,null,null,null,Eliza Ann Brodins,null
Ross,Henry,Levin Stewart,M,22,null,29,Dec,1854,Bucktown,Dorchester,MD,null,null,null,null,Eliza Ann Brodins,null
Ross,Robert,John Stewart,M,35,B,29,Dec,1854,Bucktown,Dorchester,MD,null,null,null,null,Eliza Ann Brodins,null
Murray ,Robert,null,M,null,null,null,null,null,null,Loudon,VA,null,null,null,null,Eliza Brooks,null
Jones,Eliza,null,F,40,B,2,Aug,1855,Petersburg,Dinwiddle,VA,null,null,null,null,Eliza H. Riche,null
Robinson,Josephine,null,F,null,null,null,null,1858,Washington,null,DC,null,null,null,null,Eliza Hambleton,null
Walker,George,Austin Valentine,M,43,null,18,Jan,1855,Petersburg,Dinwiddle,VA,null,null,null,Steamer,Eliza Jones,null
Graham,Montgomery,null,M,null,M,13,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Elizabeth Gordon,100 in state/200 out
Jones,Henry,null,M,41,B,null,null,1859,Richmond,Henrico,VA,null,null,null,null,Elizabeth Mann,null
Wise,Harry,null,M,24,B,null,Aug,1857,null,Harford,MD,null,null,null,null,Elliott Burwell,50 in State/100 Out
Green,David,George Taylor,M,null,null,28,Jul,1856,Leesburg,Loudon,VA,null,null,null,null,Elliott Curlett,null
Hipkins,Wiliam Henry,null,M,23,M,null,null,1857,Arlington,Baltimore,MD,null,null,null,null,Ephraim Swart,null
Tudle,Henry,null,M,null,null,13,null,1860,Fredericksburg,Spotsylvania,VA,null,null,null,null,Ezra Houpt,null
Holladay,Charles,null,M,28,null,31,Aug,1855,Baltimore,Baltimore,MD,null,null,null,null,F. Smith,null
Thompson,Charles,null,M,25,B,null,null,1857,Richmond,Henrico,VA,null,null,null,Foot,Fleming Bibbs,null
Goulden,Alfred,null,M,23,B,null,null,null,null,null,null,null,null,null,Foot,Fletcher Jackson,null
Levinson,William Henry,null,M,21,null,15,Jan,1856,New Castle,New Castle,DE,null,null,null,null,Frances Hawkins,null
Laminson,William H.,null,M,21,null,null,null,1855,null,New Castle,DE,null,null,null,null,Francis Haskins,null
Derrix,Townsend,null,M,null,null,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Gallipappick,null
Wood,Moses,null,M,null,null,null,null,1857,Georgetown,null,DC,null,null,null,null,General Briscoe,null
Nickless,Kit,null,M,45,null,21,Dec,1854,King Georges,King George,VA,null,null,null,Foot,General Washington,null
Taylor,James,null,M,20,M,null,null,1859,Fredericksburg,Spotsylvania,VA,null,null,null,null,George Ailer,null
Wilkins,James Andy,null,M,null,null,null,null,1859,Cecil,Cecil,MD,null,null,null,null,George Biddle,null
Forman,Isaac,null,M,50,B,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,George Brown,null
Haley,Elizabeth,Sarah Richardson,F,21,null,26,Apr,1854,Havre de Grace,Harford,MD,null,null,null,null,George C. Davis,null
Haley,Harriet,Ann Richardson,F,19,null,26,Apr,1854,Havre de Grace,Harford,MD,null,null,null,null,George C. Davis,null
Bennett,George,null,M,1,null,1,Jun,1855,Aldie P.O.,Loudon,VA,X,null,null,null,George Carter,null
Bennett,null,null,F,1 mos,null,1,Jun,1855,Aldie P.O.,Loudon,VA,X,null,null,null,George Carter,null
Bennett,Martha,Martha Washington,F,27,null,1,Jun,1855,Leesburg,Loudon,VA,null,null,null,null,George Carter,1200
Green,George,null,M,23,B,29,Jun,1855,Baltimore,Baltimore,MD,null,null,null,null,George Chambers,null
Green,Richard,William Smith,M,25,B,29,Jun,1855,Baltimore,Baltimore,MD,null,null,null,null,George Chambers,null
Dunagan,Sarah,Anna Elizabeth Kingslow,F,18,M,30,Jan,1855,Wilmington,New Castle,DE,null,null,null,null,George Churchman,null
Clagart,John,null,M,22,M,null,null,1857,Fairfax,Fairfax,VA,null,null,null,null,George Coleman,null
Robinson,Joseph,null,M,30,B,1,Mar,1855,Richmond,Henrico,VA,null,X,null,Schooner,George E. Sadler,null
Wilkins,Charles,null,M,3,null,null,null,1859,Cecil,Cecil,MD,X,null,null,null,George Ford,null
Wilkins,Lucinda,null,F,21,B,null,null,1859,Cecil,Cecil,MD,null,null,null,null,George Ford,null
Skinner,Thomas Edward,null,M,18,M,11,Apr,1858,Baltimore,Baltimore,MD,null,null,null,null,George H. Carman,null
Alexander,John,null,M,44,B,null,null,1857,null,Kent,null,null,null,null,null,George Handy,null
Alligood,George,null,M,22,null,null,null,1858,null,Sussex,DE,null,null,X,null,George M. Davis,null
Hooper,Miles,null,M,23,null,null,Aug,1855,Federal Mills,null,NC,null,null,null,null,George Montigue,null
Smith,John,null,M,20,B,null,null,1857,Hoopesville,Dorchester,MD,null,null,null,null,George Morgan,null
Dorsey,Maria,null,F,40,B,null,Sept,1856,Washington,null,DC,null,null,null,null,George Parker,200
Neall,Daniel,null,M,23,M,null,Sept,1856,Washington,null,DC,null,null,null,Foot,George Parker,200
Brown,Albert,null,M,null,M,3,Jun,1856,Hagerstown,Washington,MD,null,null,X,Horseback,George Shaffer,null
Brown,Angeline,null,F,null,M,3,Jun,1856,Hagerstown,Washington,MD,null,null,null,Horseback,George Shaffer,null
Brown,Charles,null,M,null,null,3,Jun,1856,Hagerstown,Washington,MD,null,null,X,Horseback,George Shaffer,null
Dorsey,George,null,M,null,M,3,Jun,1856,Hagerstown,Washington,MD,null,null,X,null,George Shaffer,null
Scott,Jane,null,F,14,B,3,Jun,1856,Hagarstown,Washington,MD,X,null,null,Horseback,George Shaffer,null
Piner,Abe,null,M,23,null,14,May,1856,Georget'n Crossroads,Kent,MD,null,null,null,null,George Spencer,null
Fineer,Abe,null,M,23,B,14,May ,1856,Norfolk,Norfolk,VA,null,null,null,null,George Spencer,null
Brown,Harriet,Jane Wooton,F,null,null,3,Apr,1853,Baltimore,Baltimore,MD,null,null,null,Foot,George Stewart,null
