Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,Long,Lat
Lewis,Edward,William Brady,M,36,B,7,Nov,1857,null,Franklin,NC,null,X,null,null,Carter Gay,100,0,0
Joiner,Maria,null,F,33,M,23,Jun,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Catharine Gordon,null,-76.28514,36.84686
Carroll,George,null,M,24,B,null,null,1857,Washington,null,DC,null,null,null,null,C.C. Hirara,null,-77.03196,38.89037
null,Richard,null,M,30,B,22,Mar,1857,New Kent,null,null,null,null,null,Foot,Captain Tucker,100 in state,-76.97829,37.51805
Viney,Joseph,null,M,40,B,24,Oct,1857,Alexandria,Fairfax,VA,null,null,null,Foot,Charles Bryant,null,-77.04341,38.8046
Mead,Zechariah,John Williams,M,20,null,25,Feb,1855,null,null,MD,null,null,null,null,Charles C. Owens,null,0,0
Royan,William,null,M,35,null,null,null,1857,Washington,null,DC,null,null,null,null,Captain Cunningham,null,-77.03196,38.89037
Johnson,Perry,null,M,28,null,21,Nov,1853,Elkton,Cecil,MD,null,null,null,null,Charles Johnson,null,-75.83041,39.60923
Harris,James,null,M,null,M,null,Nov,1856,Middletown,New Castle,DE,null,null,null,null,Catharine Odine,null,-75.71684,39.45028
Cooper,Charles Henry,null,M,22,null,4,Aug,1856,Middletown,New Castle,DE,null,null,null,null,Catherine Medine,null,-75.71684,39.45028
Langhorn,Henry,William Scott,M,null,M,null,Dec,1858,Richmond,Henrico,VA,null,X,null,Steamer,Charles L. Hobson,null,-77.43367,37.54068
Williams,Edward,Henry Johnson,M,null,null,3,Apr,1853,Baltimore,Baltimore,MD,null,null,null,Foot,Charles Moondo,null,-76.60926,39.29058
Conner,James,null,M,43,null,27,Jul,1857,New Orleans,Orleans,LA,null,null,null,null,Charles Parlange,100,-90.07775,29.9537
null,Hannah,null,F,23,null,17,Oct,1857,Marshall Hope,Caroline,MD,null,null,null,Foot,Charles Peters,null,-94.35011,32.54634
Snivley,David,null,M,26,B,null,null,1860,Frederick,Frederick,MD,null,null,null,null,Charles Preston,null,-77.41203,39.41574
Blackson,James Henry,null,M,25,null,26,May,1854,null,null,null,null,null,null,null,Charles Wright,null,0,0
William,Mary,null,F,null,null,null,null,1860,Fredericksburg,Spotsylvania,VA,null,null,null,null,Christian Thomas,null,-77.45933,38.30118
Weems,Maria,Joe Wright/Ellen Capron,F,15,B,25,Nov,1855,Washington,null,DC,X,null,null,Carriage,Charles M. Price,500,-77.03196,38.89037
Hickman,Charles,Charles Robinson,M,null,null,7,Aug,1855,Indian River,Sussex,DE,null,null,null,null,Charles Henry Hickman,null,-75.17052,38.57264
Johnson,null,null,M,7,null,null,Jul,1855,null,null,NC,X,null,null,Carriage,Col. John H. Wheeler,null,0,0
Green,Christopher,null,M,null,B,null,null,1857,Baltimore,Baltimore,MD,null,null,null,null,Clayton Wright,null,-76.60926,39.29058
Johnson,null,null,M,11,null,null,Jul,1855,null,null,NC,X,null,null,Carriage,Col. John H. Wheeler,null,0,0
Johnson,Jane,null,F,null,B,null,Jul,1855,null,null,NC,null,null,null,Carriage,Col. John H. Wheeler,null,0,0
Smith,Jesse,null,M,34,null,12,Dec,1854,Norfolk,Norfolk,VA,null,null,null,null,Cornelius Herman,null,-76.28514,36.84686
Airs,Peter,Peter Johnson,M,30,null,21,Nov,1854,Berlin,Worcester,MD,null,null,null,null,Comfort & Betsy Airs,null,-75.21836,38.3222
Williams,Isaac,null,M,26,null,21,Dec,1854,Hampsted,King George,VA,null,null,null,Foot,D. Fitchhugh,null,-77.13368,38.33586
Scott,null,null,null,null,null,25,Nov,1853,Havana,null,MD,X,null,null,null,Daniel Coolby,null,-90.06082,40.29792
Scott,null,null,null,null,null,25,Nov,1853,Havana,null,MD,X,null,null,null,Daniel Coolby,null,-90.06082,40.29792
Grey,John Boice,null,M,19,B,null,Jan,1858,Lewes,Sussex,DE,null,null,null,Skiff,Daivd Henry Houston,null,-75.1308,38.78043
Brown,Robert,Thomas Jones,M,25,M,25,Dec,1856,Martinsburg,Henry,VA,null,null,null,Horseback,Col. John F. Fraic,null,-77.96477,39.45641
Scott,Hetty,Margaret Duncans,F,null,null,25,Nov,1853,Havana,null,MD,null,null,null,null,Daniel Coolby,null,-90.06082,40.29792
Scott,Priscilla,Priscilla Duncans,F,null,null,25,Nov,1853,Havana,null,MD,X,null,null,null,Daniel Coolby,null,-90.06082,40.29792
Unidentified,null,null,M,null,null,25,Nov,1853,Havana,null,MD,null,null,null,null,Daniel Coolby,null,-90.06082,40.29792
Unidentified,null,null,F,null,null,25,Nov,1853,Havana,null,MD,null,null,null,null,Daniel Coolby,null,-90.06082,40.29792
Jackson,William,null,M,50,null,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Daniel Minne,null,-77.04341,38.8046
Carter,Charles,null,M,30,M,10,Apr,1856,Richmond,Henrico,VA,null,X,null,null,Daniel Delaplain,null,-77.43367,37.54068
Huges,William,null,M,22,null,29,Dec,1856,Eastern Shore,null,MD,null,null,null,null,Daniel Cox,null,-80.1356,25.9337
Smith,John Wesley,null,M,26,null,null,null,null,Cambridge,Dorchester,MD,null,null,null,null,Daniel Hubert,null,-76.07806,38.56312
Paeden,Celia,null,F,null,null,27,Mar,1853,Norfolk,Norfolk,VA,null,null,null,Boat,David Baines,null,-76.28514,36.84686
Apeden,Harriet,null,F,null,null,27,Mar,1853,Norfolk,Norfolk,VA,null,null,null,Boat,David Baines,null,-76.28514,36.84686
null,Celia,null,F,null,null,27,Mar,1854,Norfolk,Norfolk,VA,null,null,null,null,David Baines,null,-76.28514,36.84686
Scott,Jack,null,M,36,B,3,Nov,1857,Richmond,Henrico,VA,null,null,null,Foot,"David B. Turner, Esq.",null,-77.43367,37.54068
Wellington,Jane,Jane Johnson,F,null,null,12,Jun,1856,Hagarstown,Washington,MD,null,null,null,null,David Beiller,null,-77.71758,39.6425
Bird,Charles,null,M,24,B,3,Jun,1856,Hagerstown,Washington,MD,null,null,X,Horseback,David Claggert,null,-77.71758,39.6425
Bolice,Henry,null,M,null,null,null,Jan,1858,Lewes,Sussex,DE,null,null,null,Skiff,David Henry Houston,null,-75.1308,38.78043
Harris,Joseph,null,M,23,null,null,Jun,1855,Plymouth,null,NC,null,null,null,null,David Morris,null,-76.74956,35.86629
Moore,John Henry,null,M,24,B,null,null,1857,Arlington,Baltimore,MD,null,null,null,null,David Mitchell,null,-76.68324,39.34857
Solomon,George,null,M,33,M,null,Sept,1856,Washington,null,DC,null,null,null,Foot,Daniel Minor,null,-77.03196,38.89037
Mills,Cornelius,null,M,27,null,null,null,1860,null,null,MD,null,null,null,null,David Snively,null,0,0
Mills,Jerry,null,M,65,null,null,null,1860,null,null,MD,null,null,null,null,David Snively,null,0,0
Mills,Diana,null,F,57,null,null,null,1860,null,null,MD,null,null,null,null,David Snively,null,0,0
Mills,Margaret,null,F,17,null,null,null,1860,null,null,MD,null,null,null,null,David Snively,null,0,0
Mills,Susan,null,F,15,null,null,null,1860,null,null,MD,X,null,null,null,David Snively,null,0,0
Congo,Charles,null,M,28,B,null,null,null,null,null,MD,null,null,null,null,David Stewart,1200 in state,0,0
Congo,Margaret,null,F,28,B,null,null,null,null,null,MD,null,null,null,null,David Stewart,500 in state,0,0
Unidentified,null,null,M,null,B,null,null,1856,null,Kent,DE,null,null,null,null,Denny,null,0,0
Laws,George,null,M,null,B,null,null,1858,null,Kent,DE,null,null,null,null,Denny,null,0,0
Thompson,James Henry,Milton Brown,M,28,B,null,null,1858,Johnsonville,null,MD,null,null,null,null,Dennis Mannard,null,-79.44926,33.81758
Fuller,Cornelius,null,M,null,null,null,null,1859,null,Kent,MD,null,null,null,null,Diden,null,0,0
Pennington,Bob,null,M,null,null,null,May,1854,Washington,null,DC,null,null,null,null,David Smith & Jacob Grove,null,-77.03196,38.89037
Pennington,Stephen,null,M,null,null,null,May,1854,Washington,null,DC,null,null,null,null,David Smith & Jacob Grove,null,-77.03196,38.89037
Ross,Benjamin,null,M,null,null,null,Jun,1857,Eastern Shore,Caroline,MD,null,null,null,null,Dr. Anthony Thompson,null,-80.1356,25.9337
Ross,Harriet,null,F,null,null,null,Jun,1857,Eastern Shore,Caroline,MD,null,null,null,null,Dr. Anthony Thompson,null,-80.1356,25.9337
Smith,John,null,M,19,M,null,null,1856,Marshall District,Harford,MD,null,null,null,null,Dr. Abraham Street,null,-77.93518,38.8312
Nixon,Samuel,Dr. Thomas Bayne,M,31,B,13,Mar,1855,Norfolk,Norfolk,VA,null,X,null,Schooner,Dr. C.F. Martin,1000,-76.28514,36.84686
Salter,Charles Henry,null,M,30,null,null,null,null,Baltimore,Baltimore,MD,null,null,null,Foot,Dr. B. Crain,null,-76.60926,39.29058
Washington,William Henry,null,M,20,null,null,null,null,Baltimore,Baltimore,MD,null,null,null,Foot,Dr. B. Crain,null,-76.60926,39.29058
Grantham,Nancy,null,F,19,M,null,null,1858,Richmond,Henrico,VA,null,null,null,Boat,Dr. Christian,null,-77.43367,37.54068
Johnson,Roseanna,Catherine Brice,F,null,B,11,Jan,1857,Deer Creek,Harford,MD,null,X,null,null,Dr. Abraham Street,null,-76.45885,39.04011
Barlow,Archer,Emit Robins,M,31,M,null,null,1853,Norfolk,Norfolk,VA,null,null,null,Steamer,Dr. George Wilson,null,-76.28514,36.84686
Boyce,Andrew Jackson,null,M,26,B,null,null,1858,Lewes,Sussex,DE,null,null,null,null,Dr. David Houston,null,-75.1308,38.78043
Shaw,Nace,null,M,23,M,null,null,1858,Baltimore,Baltimore,MD,null,null,null,null,Dr. Ephraim Bell,null,-76.60926,39.29058
Booce,Richard J.,null,M,22,B,null,null,1857,null,null,MD,null,null,null,null,Dr. Hughes,null,0,0
Todd,Isaac,null,M,23,M,null,null,1857,Unionville,Frederick,MD,null,null,null,null,Dr. Granberry Sappington,null,-77.18593,39.475
Thorton,Lawrence,null,M,23,B,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Dr. Isaac Winslow,null,-77.04341,38.8046
Banks,Henry,null,M,19,null,21,Dec,1854,null,King George,VA,null,null,null,Foot,Dr. James,null,0,0
Penwell,Elizabeth,null,F,22,null,20,Jul,1854,Little Caroline,null,MD,null,null,null,null,Dr. Clift,null,-88.89299,44.72103
Ringgold,Charles,null,M,18,B,4,Jul,1859,Eastern Shore,null,MD,null,null,null,null,Dr. Jacob Preston,null,-80.1356,25.9337
Davis,William,null,M,32,B,29,Mar,1854,Emmitsburg,Frederick,MD,null,null,null,null,Dr. James Shoul,null,-77.32663,39.70465
Myers,John,null,M,null,null,null,null,1857,null,Harford,MD,null,null,null,null,Dr. Joshua R. Nelson,null,0,0
Allen,Henry,null,M,18,null,14,Nov,1854,Wilmington,New Castle,DE,null,null,null,null,Dr. Johnson,null,-75.55084,39.74023
Diggs,David,null,M,37,B,null,null,1857,Rockville,Montgomery,MD,null,null,null,null,Dr. Josiah Harding,null,-77.15118,39.08196
Spires,Valentine,Jonathan Wesley,M,null,null,28,July,1856,Petersburg,Norfolk,VA,null,null,null,null,Dr. Jesse Squires,null,-77.40348,37.22815
Young,Murray,null,M,21,B,null,null,null,null,New Castle,DE,null,null,null,null,Dr. Lober,null,0,0
Green,Samuel,Wesley Kinnard,M,25,null,28,Aug,1854,Indian Creek,Chester,MD,null,X,null,null,Dr. James Muse,null,-76.60997,39.06261
Camp,Joseph H.,null,M,20,null,16,Nov,1853,Richmond,Henrico,VA,null,null,null,Steamer,Dr. K. Clark,null,-77.43367,37.54068
Paeden,Edward,null,M,44,B,27,Mar,1853,Norfolk,Norfolk,VA,null,null,null,Boat,Dr. Price,null,-76.28514,36.84686
Camp,null,null,F,null,null,null,null,1853,Richmond,Henrico,VA,null,null,null,null,Dr. K. Clark,null,-77.43367,37.54068
Hall,John,John Simpson,M,32,null,12,July,1854,Charleston,Charleston,SC,null,null,null,Foot & Boat,Dr. Philip Mazyk,null,-79.9316,32.78115
Roach,Lamby,null,F,null,null,null,null,1859,Seaford,Sussex,DE,null,null,null,Foot,Dr. Shipley,null,-75.60905,38.64374
Bow-Legs,Jim,Bill Paul,M,null,null,25,Oct,1855,Lexington,Oglethorpe,GA,null,null,null,Foot,Dr. Thomas Stephens,500,-83.11437,33.87103
Hill,George,null,M,24,B,null,null,1857,Arlington,Baltimore,MD,null,null,null,null,Dr. Savington,null,-76.68324,39.34857
Brown,Charles Henry,null,M,27,null,5,Feb,1856,Cambridge,Dorchester,MD,null,null,null,null,Dr. Richard Dorsey,null,-76.07806,38.56312
Wilson,William,null,M,42,null,null,Nov,1856,null,null,NC,null,null,null,Schooner,Dr. Thomas Warren,null,0,0
Wilson,Franklin,null,M,18,null,24,Oct,1855,null,null,DE,null,null,null,null,Dr. William Daniels,null,0,0
Upsher,George,null,M,null,null,7,Nov,1857,Richmond,Henrico,VA,null,X,null,null,Dr. Thomas W. Upsher,100,-77.43367,37.54068
Johnson,Talbot,null,M,35,B,10,Sept,1858,null,null,MD,null,null,null,null,Duke Bond,200 in State/100 out,0,0
Townsend,Henry,null,M,21,B,17,Feb,1857,Purnell P.O. Box,Caroline,MD,null,null,null,null,E. Townsend,null,0,0
Matthews,Tom,null,M,25,B,4,Apr,1856,Bladensburg,Prince Georges,MD,null,null,null,null,E.A. Jones,33,-76.93295,38.94269
Morris,John,null,M,21,B,null,Jun,1855,Norfolk,Norfolk,VA,null,null,null,null,Edward Bloomer,null,-76.28514,36.84686
Madden,Thomas,null,M,22,null,9,Oct,1854,Easton,Talbot,MD,null,null,null,null,Ed Ray,null,-76.07475,38.7739
North,null,null,null,null,null,22,Mar,1856,null,null,null,X,null,null,null,Edward C. Dyer,null,0,0
Jones,James,Henry Rider,M,32,M,4,Apr,1856,King Georges,null,MD,null,null,null,null,Dr. William Stewart,null,-77.18406,38.26833
North,Harry,Lanney,M,12,null,22,May,1856,null,null,null,X,null,null,null,Edward C. Dyer,null,0,0
White,Emanuel T.,null,M,25,M,null,null,1857,Norfolk,Norfolk,VA,null,X,null,Steamer,Edward H. Hubert,null,-76.28514,36.84686
Emory,Robert,William Kemp,M,null,null,1,Jun,1855,null,Talbot,MD,null,null,null,null,Edward Lloyd,null,0,0
Burrell,Lewis,null,M,null,null,21,Apr,1856,Alexandria,Fairfax,VA,null,null,null,null,Edward M. Clark,null,-77.04341,38.8046
Roberts,Emory,William Kemp,M,null,null,1,Jun,1855,Prest Rock,Talbot,MD,null,null,null,null,Edward Lloyd,null,-77.13047,39.07599
Parker,Ann,null,F,null,null,14,Nov,1856,null,Dorchester,MD,null,null,null,null,Edward Wiley,null,0,0
Dorsey,Luther,null,M,19,B,null,null,null,Sairsville Mills,Frederick,MD,null,null,null,null,Edward Schriner,null,0,0
Parker,Henry,null,M,null,null,14,Nov,1856,null,Dorchester,MD,null,null,null,null,Edward Wiley,null,0,0
Parker,Lydia Ann,null,F,null,null,14,Nov,1856,null,Dorchester,MD,null,null,null,null,Edward Wiley,null,0,0
Dorsey,Anna,null,F,22,M,4,Aug,1856,null,Howard,MD,null,null,null,null,Eli Molesworth,null,0,0
Wilmer,George,null,M,null,null,5,Sept,1856,Georget'n Crossroads,Kent,MD,null,null,null,null,Eben Welch,null,-88.71499,30.8856
Heines,Peter,null,M,21,M,null,July,1856,Eatontown,Chowan,NC,null,null,null,Schooner,"Elias Heines, Esq.",null,-74.05791,40.30554
Hines,Peter,null,M,21,null,21,Jul,1856,Eatontown,Chowan,NC,null,null,null,Schooner,Elias Hines,null,-74.05791,40.30554
Hollon,Alfred,null,M,28,B,null,null,1857,Baltimore,Baltimore,MD,null,null,null,null,Elijah J. Johnson,null,-76.60926,39.29058
Rogers,Charles,null,M,null,null,null,null,1857,Baltimore,Baltimore,MD,null,null,X,null,Elijah J. Johnson,null,-76.60926,39.29058
Dade,Mary Ann,null,F,null,null,null,null,1857,Washington,Washington,VA,null,null,null,null,Elias Rhoads,null,-78.16032,38.71181
Rogers,George,null,M,26,B,null,null,1857,Baltimore,Baltimore,MD,null,null,X,null,Elijah J. Johnson,null,-76.60926,39.29058
Whitney,Israel,null,M,36,null,null,Oct,1857,Alexandria,Fairfax,VA,null,null,null,Foot,Elijah Money,null,-77.04341,38.8046
Tucker,Henry,null,M,null,B,null,null,1858,Arabella Creek Place,Baltimore,MD,null,null,null,null,Elias Sneveley,null,0,0
Lee,Ordee,null,F,35,B,null,null,1857,null,null,MD,null,null,null,null,Elijah Thompson,null,0,0
Malary,John,null,M,null,null,21,Oct,1854,Norfolk,Norfolk,VA,null,null,null,null,Eliza Ann Anderson,null,-76.28514,36.84686
Williams,Samuel,John Williams,M,32,B,null,Mar,1857,Cumberland,Alleganey,MD,null,null,null,Foot,Elivina Duncans,null,-78.76333,39.65177
Ross,Henry,Levin Stewart,M,22,null,29,Dec,1854,Bucktown,Dorchester,MD,null,null,null,null,Eliza Ann Brodins,null,-76.05248,38.45695
Ross,Benjamin,James Stewart,M,28,B,29,Dec,1854,Bucktown,Dorchester,MD,null,null,null,null,Eliza Ann Brodins,null,-76.05248,38.45695
Murray,Robert,null,M,null,null,null,null,null,null,Loudon,VA,null,null,null,null,Eliza Brooks,null,0,0
Ross,Robert,John Stewart,M,35,B,29,Dec,1854,Bucktown,Dorchester,MD,null,null,null,null,Eliza Ann Brodins,null,-76.05248,38.45695
Jones,Eliza,null,F,40,B,2,Aug,1855,Petersburg,Dinwiddle,VA,null,null,null,null,Eliza H. Riche,null,-77.40348,37.22815
Graham,Montgomery,null,M,null,M,13,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Elizabeth Gordon,100 in state/200 out,-77.04341,38.8046
Walker,George,Austin Valentine,M,43,null,18,Jan,1855,Petersburg,Dinwiddle,VA,null,null,null,Steamer,Eliza Jones,null,-77.40348,37.22815
Wise,Harry,null,M,24,B,null,Aug,1857,null,Harford,MD,null,null,null,null,Elliott Burwell,50 in State/100 Out,0,0
Jones,Henry,null,M,41,B,null,null,1859,Richmond,Henrico,VA,null,null,null,null,Elizabeth Mann,null,-77.43367,37.54068
Green,David,George Taylor,M,null,null,28,Jul,1856,Leesburg,Loudon,VA,null,null,null,null,Elliott Curlett,null,-77.56578,39.1158
Tudle,Henry,null,M,null,null,13,null,1860,Fredericksburg,Spotsylvania,VA,null,null,null,null,Ezra Houpt,null,-77.45933,38.30118
Robinson,Josephine,null,F,null,null,null,null,1858,Washington,null,DC,null,null,null,null,Eliza Hambleton,null,-77.03196,38.89037
Hipkins,Wiliam Henry,null,M,23,M,null,null,1857,Arlington,Baltimore,MD,null,null,null,null,Ephraim Swart,null,-76.68324,39.34857
Holladay,Charles,null,M,28,null,31,Aug,1855,Baltimore,Baltimore,MD,null,null,null,null,F. Smith,null,-76.60926,39.29058
Goulden,Alfred,null,M,23,B,null,null,null,null,null,null,null,null,null,Foot,Fletcher Jackson,null,0,0
Thompson,Charles,null,M,25,B,null,null,1857,Richmond,Henrico,VA,null,null,null,Foot,Fleming Bibbs,null,-77.43367,37.54068
Laminson,William H.,null,M,21,null,null,null,1855,null,New Castle,DE,null,null,null,null,Francis Haskins,null,0,0
Derrix,Townsend,null,M,null,null,null,null,1857,Alexandria,Fairfax,VA,null,null,null,null,Gallipappick,null,-77.04341,38.8046
Levinson,William Henry,null,M,21,null,15,Jan,1856,New Castle,New Castle,DE,null,null,null,null,Frances Hawkins,null,-75.56394,39.65977
