Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,Date,FullDate,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,CityState,Long,Lat
Cale,<i>Unknown</i>,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,25,Mar,1856,Mar 1856,"March 25, 1856",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Cale,David,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,25,Mar,1856,Mar 1856,"March 25, 1856",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Blackson,James Henry,<i>None/Unknown</i>,Male,25,<i>Unknown</i>,26,May,1854,May 1854,"May 26, 1854",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Charles Wright,<i>None/Unknown</i>,<i>Unknown</i>,0,0
North,Harry,Lanney,Male,12,<i>Unknown</i>,22,May,1856,May 1856,"May 22, 1856",null,<i>County Unknown</i>,null,Yes,No,No,<i>Unknown</i>,Edward C. Dyer,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Kneeland,Joeseph,Joseph Hudson,Male,26,Black,14,Nov,1853,Nov 1853,"November 14, 1853",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Jacob Kneeland,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Unidentified,<i>Unknown</i>,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,1,Nov,1855,Nov 1855,"November 1, 1855",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Unidentified,<i>Unknown</i>,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,1,Nov,1855,Nov 1855,"November 1, 1855",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Unidentified,<i>Unknown</i>,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,1,Nov,1855,Nov 1855,"November 1, 1855",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Unidentified,<i>Unknown</i>,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,1,Nov,1855,Nov 1855,"November 1, 1855",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Unidentified,<i>Unknown</i>,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,1,Nov,1855,Nov 1855,"November 1, 1855",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Grimes,Harry,<i>None/Unknown</i>,Male,46,<i>Unknown</i>,7,Nov,1857,Nov 1857,"November 7, 1857",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Jesse Moore,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Alexander,John,<i>None/Unknown</i>,Male,44,Black,null,null,1857,null 1857,1857,null,Kent County,null,No,No,No,<i>Unknown</i>,George Handy,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Trusty,Perry Henry,<i>None/Unknown</i>,Male,31,Black,null,null,1857,null 1857,1857,null,Caroline County,null,No,Yes,No,Foot,James Pittman,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Benton,Samuel,<i>None/Unknown</i>,Male,26,Black,null,null,1857,null 1857,1857,null,Kent County,null,No,No,No,<i>Unknown</i>,William Campbell,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Bivans,<i>Unknown</i>,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,null,null,1857,null 1857,1857,null,<i>County Unknown</i>,null,Yes,No,No,<i>Unknown</i>,William H. Hyson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Bivans,<i>Unknown</i>,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,null,null,1857,null 1857,1857,null,<i>County Unknown</i>,null,Yes,No,No,<i>Unknown</i>,William H. Hyson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Bivans,Belinda,<i>None/Unknown</i>,Female,30,Black,null,null,1857,null 1857,1857,null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,William H. Hyson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Unidentified,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,null,null,1857,null 1857,1857,null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,William H. Hyson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Unidentified,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,null,null,1857,null 1857,1857,null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,William H. Hyson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Unidentified,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,<i>Unknown</i>,null,null,1857,null 1857,1857,null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,William H. Hyson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Moody,William Henry,<i>None/Unknown</i>,Male,20,Black,null,null,1857,null 1857,1857,null,<i>County Unknown</i>,null,No,No,No,Horse & Carriage,William Henry Hyson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Henry,James,<i>None/Unknown</i>,Male,32,<i>Unknown</i>,null,null,1857,null 1857,1857,null,Kent County,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Turner,Samuel,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,null,null,1857,null 1857,1857,null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Thompson,Robert,<i>None/Unknown</i>,Male,39,<i>Unknown</i>,null,null,1858,null 1858,1858,Higherstown,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,John R. Laten,<i>None/Unknown</i>,"Higherstown, <i>State Unknown</i>",0,0
Campbell,Frank,<i>None/Unknown</i>,Male,<i>Unknown</i>,Black,null,null,1858,null 1858,1858,null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Henry Campbell,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Brown,John,<i>None/Unknown</i>,Male,<i>Unknown</i>,<i>Unknown</i>,null,null,1859,null 1859,1859,null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,Benjamin Thorn,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Goulden,Alfred,<i>None/Unknown</i>,Male,23,Black,null,null,null,null null,<i>Unknown</i>,null,<i>County Unknown</i>,null,No,No,No,Foot,Fletcher Jackson,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Frisley,James Alfred,<i>None/Unknown</i>,Male,24,Black,null,null,null,null null,<i>Unknown</i>,null,<i>County Unknown</i>,null,No,No,No,Foot,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
Hamlet,Mark,Thomas Goff,Male,<i>Unknown</i>,<i>Unknown</i>,27,Oct,1853,Oct 1853,"October 27, 1853",Retirement,<i>County Unknown</i>,MD,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,"Retirement, MD",0,0
Johnson,Helen,<i>None/Unknown</i>,Female,<i>Unknown</i>,<i>Unknown</i>,2,Sep,1853,Sept 1853,"Septembert 2, 1853",null,<i>County Unknown</i>,null,No,No,No,<i>Unknown</i>,<i>Unknown</i>,<i>None/Unknown</i>,<i>Unknown</i>,0,0
